Date,AWAY,HOME,Crew Chief,Referee,Umpire,Fouls by Away,FTM,FTA,Fouls by Home,FTM,FTA,Total Fouls,Real Ref Diff,Most Drawn Shooting Fouls ,Ref Foul avg,Ref Diff,Comments,Comments 2
5/25/2022,BOS,MIA,Marc Davis,Josh Tiven,Mark Lindsay,19,17,23,19,13,14,38,0,BOS,40.317,1.000,,
5/24/2022,GSW,DAL,Zach Zarba,David Guthrie,Sean Wright,18,17,26,19,17,22,37,-1,GSW,43.304,0.602,,
5/23/2022,MIA,BOS,Scott Foster,Kane Fitzgerald,Pat Fraher,26,8,14,15,32,38,41,11,BOS,41.748,0.444,,
5/22/2022,GSW,DAL,Marc Davis,Josh Tiven,Tyler Ford,23,22,25,18,27,34,41,5,DAL,42.032,2.984,,
5/21/2022,MIA,BOS,James Capers,James Williams,Curtis Blair,24,12,14,21,23,30,45,3,BOS,42.899,3.113,,
5/20/2022,DAL,GSW,Kane Fitzgerald,Eric Lewis,Ben Taylor,20,22,29,26,20,25,46,-6,DAL,44.111,0.556,,
5/19/2022,BOS,MIA,David Guthrie,John Goble,Bill Kennedy,21,21,23,18,16,22,39,3,Same,40.122,1.567,,
5/18/2022,DAL,GSW,James Capers,Courtney Kirkland,Mark Lindsay,17,14,21,22,10,16,39,-5,DAL,42.463,0.052,,
5/17/2022,BOS,MIA,Zach Zarba,Tony Brothers,Ed Malloy,23,24,32,24,30,34,47,-1,Same,44.500,2.485,,
5/15/2022,MIL,BOS,James Capers,Kane Fitzgerald,John Goble,18,11,16,19,13,18,37,-1,BOS / Same,43.292,5.861,,
5/15/2022,DAL,PHX,Zach Zarba,Tony Brothers,Josh Tiven,17,12,12,18,12,18,35,-1,PHX,45.274,2.317,,
5/13/2022,MEM,GSW,Kane Fitzgerald,Josh Tiven,James Williams,12,13,20,17,8,11,29,-5,MEM,44.494,8.017,,
5/13/2022,BOS,MIL,Eric Lewis,Ben Taylor,Tre Maddox,17,15,23,25,16,18,42,-8,BOS,45.133,0.800,,
5/12/2022,MIA,PHI,David Guthrie,John Goble,Curtis Blair,12,8,11,16,6,7,28,-4,MIA,43.717,2.658,Butler u,
5/12/2022,PHX,DAL,James Capers,Courtney Kirkland,Ed Malloy,27,18,21,23,27,36,50,4,DAL,43.810,-0.938,Brunson u fail,
5/11/2022,GSW,MEM,Zach Zarba,Tony Brothers,Bill Kennedy,23,9,13,17,22,30,40,6,MEM,46.285,4.289,,
5/11/2022,MIL,BOS,Marc Davis,Josh Tiven,Mark Lindsay,14,17,21,19,13,15,33,-5,MIL,42.569,3.791,Giannis u 8.5 ft,
5/10/2022,PHI,MIA,Kane Fitzgerald,James Williams,Tyler Ford,19,14,15,13,17,23,32,6,MIA,46.262,9.403,,
5/10/2022,DAL,PHX,David Guthrie,Sean Wright,Tom Washington,21,18,27,23,12,16,44,-2,DAL,46.534,9.237,,
5/9/2022,MEM,GSW,Marc Davis,John Goble,Karl Lane,19,9,15,15,20,22,34,4,GSW,42.595,7.024,,
5/9/2022,BOS,MIL,James Capers,Tony Brothers,Jacyn Goble,25,18,20,17,21,27,42,8,MIL,45.658,5.513,Giannis o (fail - missed 5 fts),
5/8/2022,MIA,PHI,Scott Foster,Eric Lewis,Brian Forte,26,25,28,24,26,34,50,2,PHI,42.319,-0.292,Bam u,
5/8/2022,PHX,DAL,Kane Fitzgerald,James Williams,Curtis Blair,25,14,18,21,15,19,46,4,Same,45.122,6.900,Doncic o; Brunson o (pushed),
5/7/2022,MEM,GSW,David Guthrie,Courtney Kirkland,Tre Maddox,20,16,21,24,19,21,44,-4,Same,43.972,1.487,Ja under,
5/7/2022,BOS,MIL,Zach Zarba,Sean Wright,Pat Fraher,21,28,34,26,14,17,47,-5,BOS,44.528,3.667,,
5/6/2022,MIA,PHI,James Capers,Ben Taylor,Ed Malloy,22,18,24,24,19,22,46,-2,MIA / Same,44.179,-0.360,Maxey u and Bam u (good; push),
5/6/2022,PHX,DAL,Marc Davis,John Goble,Rodney Mott,14,13,15,19,10,13,33,-5,PHX / Same,44.599,11.333,,
5/4/2022,PHI,MIA,Zach Zarba,Josh Tiven,Tom Washington,25,19,22,22,25,31,47,3,MIA,51.237,9.490,Maxey and Bam o,
5/4/2022,DAL,PHX,James Capers,Tony Brothers,Ben Taylor,26,20,24,28,18,21,54,-2,DAL,42.139,2.133,,
5/3/2022,MIL,BOS,David Guthrie,Courtney Kirkland,Tyler Ford,19,15,23,23,13,15,42,-4,MIL,44.256,3.533,MIL avg 18.33,BOS avg 24.6
5/3/2022,GSW,MEM,Scott Foster,Eric Lewis,Mitchell Ervin,20,14,18,23,20,21,43,-3,MEM / Same,46.412,2.667,,
5/2/2022,PHI,MIA,Marc Davis,Sean Wright,Mark Lindsay,17,18,20,18,17,18,35,-1,PHI / Same,41.867,8.600,,
5/2/2022,DAL,PHX,Zach Zarba,Josh Tiven,Bill Kennedy,22,18,25,21,18,18,43,1,Same,47.083,-0.750,DBook o; doncic o,
5/1/2022,GSW,MEM,Kane Fitzgerald,James Williams,Gediminas Petraitis,25,13,20,19,18,24,44,6,MEM,45.356,11.400,,
5/1/2022,MIL,BOS,Scott Foster,Curtis Blair,Ed Malloy,21,15,21,25,15,20,46,-4,Same,43.989,1.700,,
4/29/2022,MEM,MIN,Scott Foster,Courtney Kirkland,Mark Lindsay,21,19,24,21,18,26,42,0,MIN / Same,42.917,4.800,,
4/28/2022,PHI,TOR,Zach Zarba,Curtis Blair,Bill Kennedy,22,22,23,22,20,25,44,0,Same,51.500,2.500,,
4/28/2022,PHX,NOP,Kane Fitzgerald,Tony Brothers,Tyler Ford,21,17,18,25,17,19,46,-4,Same,44.333,14.300,,
4/28/2022,DAL,DAL,David Guthrie,Sean Wright,Pat Fraher,19,9,11,15,15,20,34,4,UTA,46.406,6.600,,
4/27/2022,CHI,MIL,Scott Foster,Mark Lindsay,Rodney Mott,18,7,11,13,16,20,31,5,MIL,45.889,10.400,,
4/27/2022,DEN,GSW,James Capers,Josh Tiven,Brian Forte,21,20,29,22,15,21,43,-1,DEN,43.000,-6.000,,
4/26/2022,ATL,MIA,Zach Zarba,Bill Kennedy,Mitchell Ervin,22,24,28,25,16,21,47,-3,ATL,51.167,9.500,Butler o,Herro o
4/26/2022,NOP,PHX,David Guthrie,Courtney Kirkland,Karl Lane,20,28,35,25,16,20,36,-5,NOP,44.193,-0.400,BI o,Val o
4/26/2022,MIN,MEM,Marc Davis,Tyler Ford,Gediminas Petraitis,29,21,24,19,26,39,48,10,MEM,42.222,7.000,KAT u fail,fuck Jaren jackson
4/25/2022,BOS,BKN,Scott Foster,Sean Wright,Brian Forte,28,18,22,23,17,29,51,5,BKN,39.222,5.700,Tatum u fail,
4/25/2022,TOR,PHI,John Goble,James Williams,Tre Maddox,20,11,13,17,16,20,37,3,PHI,51.667,9.000,Harden o fail,Siakam o fail
4/25/2022,UTA,DAL,James Capers,Tony Brothers,Jacyn Goble,24,16,21,18,16,21,42,6,Same,44.833,5.500,Doncic o,
4/24/2022,MIA,ATL,David Guthrie,Courtney Kirkland,Brent Barnaky,23,17,21,21,11,20,44,2,Same,45.944,-1.200,Butler o,
4/24/2022,PHX,NOP,Marc Davis,Josh Tiven,Tom Washington,28,10,15,16,32,42,60,12,NOP,46.056,1.500,"CP3 o fail, CJ o fail",
4/24/2022,GSW,DEN,Zach Zarba,Pat Fraher,Mitchell Ervin,27,23,32,31,29,36,58,-4,DEN,47.333,8.000,,
4/24/2022,MIL,CHI,Eric Lewis,Tyler Ford,Gediminas Petraitis,23,12,18,18,16,17,41,5,Same,47.978,0.700,,
4/23/2022,PHI,TOR,Scott Foster,Ed Malloy,Rodney Mott,26,21,25,20,28,35,46,6,TOR,45.000,2.000,Harden o,
4/23/2022,DAL,UTA,Kane Fitzgerald,James Williams,Michael Smith,29,18,23,26,42,21,55,3,UTA,45.000,10.300,Don o,
4/23/2022,BOS,BKN,James Capers,Mark Lindsay,Karl Lane,19,13,14,22,13,16,41,-3,Same,43.896,1.800,KD u,
4/23/2022,MEM,MIN,John Goble,Bill Kennedy,Tre Maddox,33,19,25,23,31,40,56,10,MIN,49.667,13.000,Ant and Kat o,
